Razão Social;Nome Fantasia;CNPJ;Porte;Data de Inicio da Operação;Situação;Atividade;CEP;UF;Localidade;Bairro;Logradouro;Complemento;Telefone;Email Institucional;Email Comercial;Site;Data de Geração do Certificado;Data de Validade do Certificado;Código do Certificado;CNAE;Natureza Jurídica;Tipo de Atividade;Área Total Construída em m2;Área Locável em m2;Línguas
P R M SONORIZACAO E ACESSORIOS LTDA;ELETROKAR;00.688.461/0001-07;MICROEMPRESA;03/07/1995;Em Operação;Centro de Convenções;36930-000;MG;Simonésia; - ;avenida maria alves de abreu 266;loja;(33)3336-1460;CONT.KLEINPAUL@HOTMAIL.COM;eletrokarpaulo@hotmail.com; - ;17/04/2019 14:06:41;17/04/2021 14:06:41;00.688.461/0001-07;8230-0/01 - SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS;Sociedade Empresária Limitada;Centro de Convenções e Feiras;800;3000;Inglês|Espanhol
CERRADO BRASIL EVENTOS LTDA;CERRADO BRASIL;01.334.865/0001-57;EMPRESA DE PEQUENO PORTE;29/07/1996;Em Operação;Centro de Convenções;79823-800;MS;Dourados;Conjunto Residencial Monte Carlo;Albino Sotolani; - ;(67)3421-8736;jose.piveta@cerradobrasileventos.com.br;jose.piveta@cerradobrasileventos.com.br; - ;25/06/2019 12:21:59;25/06/2021 12:21:59;01.334.865/0001-57;8230-0/02 - CASAS DE FESTAS E EVENTOS;Sociedade Empresária Limitada;Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;2100;2100;Inglês
DORIA ADMINISTRACAO E EVENTOS LTDA.;CAMPOS DO JORDÃO CONVENTION CENTER;01.409.348/0003-61;DEMAIS;02/04/2009;Em Operação;Centro de Convenções;12460-000;SP;Campos do Jordão; - ;AVENIDA MACEDO SOARES,499;;(12)3663-5144;luizpadovan@grupodoria.com.br;luizpadovan@grupodoria.com.br; - ;22/08/2019 09:51:37;22/08/2021 09:51:37;01.409.348/0003-61;8230-0/01 - SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS;Sociedade Empresária Limitada;Centro de Exposições;6789;6789; - 
F F AZZI PARANHOS COMERCIAL EIRELI;VICTORIA EVENTOS;02.134.947/0001-10;MICROEMPRESA;23/09/1997;Em Operação;Centro de Convenções;76803-796;RO;Porto Velho;São João Bosco;Antônio Serpa do Amaral; - ;(69)3221-7218;victoriaeventos2016@gmail.com;victoriaeventos2016@gmail.com; - ;25/01/2018 14:10:06;25/01/2020 00:00:00;02.134.947/0001-10;8230-0/02 - CASAS DE FESTAS E EVENTOS;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);Centro de Convenções e Feiras;200;30; - 
VALE DO MOXUARA TURISMO RURAL LTDA;VALE DO MOXUARA;02.444.078/0001-20;EMPRESA DE PEQUENO PORTE;31/03/1998;Em Operação;Centro de Convenções;29159-899;ES;Cariacica;Área Rural de Cariacica;Rural; - ;(27)3254-1488;contato@valedomoxuara.com.br;contato@valedomoxuara.com.br;www.valedomoxuara.com.br;29/08/2019 17:23:05;29/08/2021 17:23:05;02.444.078/0001-20;8230-0/02 - CASAS DE FESTAS E EVENTOS;Sociedade Empresária Limitada;Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;2300;1800; - 
TRECXON COMERCIAL LTDA;Trecsson Business;04.008.771/0001-86;MICROEMPRESA;26/07/2000;Em Operação;Centro de Convenções;87070-000;PR;Maringá;Gleba Patrimônio Maringá;Colombo;- de 8413/8414 ao fim;(44)3029-1162;administrativo@nossoescritorio.com.br;eventos@trecsson.com.br;www.trecsson.com.br;08/03/2019 14:42:38;08/03/2021 14:42:38;04.008.771/0001-86;8230-0/01 - SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS;Sociedade Empresária Limitada;Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;2000;1000;Inglês|Espanhol|Francês
HOTEIS E TURISMO DO NORDESTE EIRELI;HOTEIS E TURISMO DO NORDESTE LTDA;04.282.640/0001-92;EMPRESA DE PEQUENO PORTE;13/02/2001;Em Operação;Centro de Convenções;55296-300;PE;Garanhuns;Heliópolis;Rui Barbosa;- até 1396 - lado par;(87)3762-8700;RESERVAS@TAVARESCORREIA.COM;RESERVAS@TAVARESCORREIA.COM;www.tavarescorreia.com;28/06/2018 08:20:22;28/06/2020 08:20:22;04.282.640/0001-92;8230-0/02 - CASAS DE FESTAS E EVENTOS;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);Centro de Convenções e Feiras;2300;2000; - 
COSTA DO SOL HOTEL EIRELI ME;COSTA DO SOL;05.119.929/0001-58;MICROEMPRESA;17/05/2002;Em Operação;Centro de Convenções;28950-000;RJ;Armação dos Búzios; - ;Rua 16;Hotel;(22)2623-5269;financeiro@costadosolboutiquehotel.com.br;reservas@costadosolboutiquehotel.com.br;costadosolboutiquehote.com.br;18/01/2019 14:10:43;18/01/2021 14:10:43;05.119.929/0001-58;8230-0/01 - SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);Centro de Convenções e Feiras;600;400;Inglês|Espanhol
ART TURISMO E EVENTOS LTDA;ART TURISMO;05.337.186/0001-92;MICROEMPRESA;01/10/2002;Em Operação;Centro de Convenções;01503-001;SP;São Paulo;Liberdade;da Liberdade;- de 369 ao fim - lado ímpar;(11)3275-4400;artturismo@terra.com.br;artturismo@terra.com.br; - ;24/07/2019 14:05:01;24/07/2021 14:05:01;05.337.186/0001-92;8230-0/01 - SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS;Sociedade Empresária Limitada;Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;50;50; - 
GL EVENTS CENTRO DE CONVENCOES S.A.;GL EVENTS CENTRO DE CONVENÇÕES - JEUNESSE ARENA;05.495.076/0002-30;DEMAIS;11/02/2008;Em Operação;Centro de Convenções;22775-040;RJ;Rio de Janeiro;Barra da Tijuca;Embaixador Abelardo Bueno;3401 - PORTÃO 5;(21)2430-1700;rodrigo.oliveira@glbr.com.br;rodrigo.oliveira@glbr.com.br;http://jeunessearena.com.br/;02/04/2018 11:01:26;02/04/2020 11:01:26;05.495.076/0002-30;8230-0/02 - CASAS DE FESTAS E EVENTOS;Sociedade Anônima Fechada;Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;2400;2400;Português|Inglês|Francês
